,Genome Name,species,antibiotic,resistance
12980,Klebsiella pneumoniae strain MRSN669510,Klebsiella pneumoniae,gentamicin,Susceptible
12981,Shigella sonnei strain 169625,Shigella sonnei,amikacin,Resistant
12982,Mycobacterium tuberculosis strain OMICS/BPL/0052/19/SP,Mycobacterium tuberculosis,amikacin,Susceptible
12983,Klebsiella pneumoniae strain MRSN511348,Klebsiella pneumoniae,cefotetan,Susceptible
12984,Streptococcus pneumoniae strain PP1,Streptococcus pneumoniae,beta-lactam,Resistant
12985,Klebsiella pneumoniae strain WHC2,Klebsiella pneumoniae,gentamicin,Resistant
12987,Klebsiella pneumoniae strain MRSN680172,Klebsiella pneumoniae,cefazolin,Susceptible
12988,Klebsiella pneumoniae strain MRSN28880,Klebsiella pneumoniae,amikacin,Susceptible
12990,Staphylococcus aureus strain 11700739,Staphylococcus aureus,clindamycin,Susceptible
12991,Streptococcus pneumoniae strain S398,Streptococcus pneumoniae,erythromycin,Resistant
12994,Klebsiella pneumoniae strain MRSN740795,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
12996,Klebsiella pneumoniae strain P30-72,Klebsiella pneumoniae,aztreonam,Resistant
12997,Klebsiella pneumoniae strain K6310,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
12998,Klebsiella pneumoniae strain Q1449,Klebsiella pneumoniae,cefoxitin,Susceptible
12999,Klebsiella pneumoniae strain MRSN702325,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
13000,Klebsiella pneumoniae strain MRSN366562,Klebsiella pneumoniae,ceftolozane-tazobactam,Resistant
13001,Staphylococcus aureus strain 73078_7,Staphylococcus aureus,erythromycin,Susceptible
13002,Shigella sonnei strain 174676,Shigella sonnei,ertapenem,Susceptible
13003,Klebsiella pneumoniae strain K5962,Klebsiella pneumoniae,cefepime,Susceptible
13004,Klebsiella pneumoniae strain MRSN560539,Klebsiella pneumoniae,amikacin,Resistant
13005,Klebsiella pneumoniae strain 680m/10,Klebsiella pneumoniae,gentamicin,Susceptible
13007,Shigella sonnei strain 197088,Shigella sonnei,tetracycline,Resistant
13008,Shigella sonnei strain 157268,Shigella sonnei,streptomycin,Resistant
13010,Staphylococcus aureus strain 73078_7,Staphylococcus aureus,penicillin,Susceptible
13011,Klebsiella pneumoniae strain IRAN-43,Klebsiella pneumoniae,ertapenem,Susceptible
13012,Klebsiella pneumoniae strain BK-171,Klebsiella pneumoniae,meropenem,Susceptible
13013,Klebsiella pneumoniae strain Q1461,Klebsiella pneumoniae,levofloxacin,Resistant
13014,Shigella sonnei strain 159706,Shigella sonnei,ertapenem,Resistant
13015,Staphylococcus aureus strain SA3,Staphylococcus aureus,tetracycline,Resistant
13016,Shigella sonnei strain 203686,Shigella sonnei,cefpirome,Resistant
13018,Pseudomonas aeruginosa strain KM18-18,Pseudomonas aeruginosa,levofloxacin,Susceptible
13019,Shigella sonnei strain 205582,Shigella sonnei,cefpirome,Susceptible
13020,Shigella sonnei strain 153152,Shigella sonnei,sulfonamides,Resistant
13021,Shigella sonnei strain 154837,Shigella sonnei,streptomycin,Resistant
13022,Staphylococcus aureus strain 27190_155F201,Staphylococcus aureus,ciprofloxacin,Susceptible
13023,Shigella sonnei strain 207511,Shigella sonnei,ciprofloxacin,Susceptible
13024,Escherichia coli strain SCAID WND2-2021 (3/145) strain SCAID WND2-2021 (3/145) strain SCAID WND2-2021 (3/145),Escherichia coli,carbenicillin,Susceptible
13025,Shigella sonnei strain 194199,Shigella sonnei,streptomycin,Resistant
13026,Staphylococcus aureus strain GHA/LAMRSA/2016/6,Staphylococcus aureus,methicillin,Susceptible
13027,Streptococcus pneumoniae strain S683,Streptococcus pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
13028,Staphylococcus aureus strain 21/11-F5 LY,Staphylococcus aureus,ciprofloxacin,Susceptible
13029,Shigella sonnei strain 164660,Shigella sonnei,temocillin,Susceptible
13030,Shigella sonnei strain 171143,Shigella sonnei,sulfonamides,Susceptible
13031,Shigella sonnei strain 171146,Shigella sonnei,sulfonamides,Susceptible
13032,Klebsiella pneumoniae strain BJKP01,Klebsiella pneumoniae,imipenem,Susceptible
13033,Streptococcus pneumoniae strain S398,Streptococcus pneumoniae,beta-lactam,Resistant
13034,Klebsiella pneumoniae strain MRSN513382,Klebsiella pneumoniae,cefazolin,Susceptible
13035,Staphylococcus aureus strain 10112441,Staphylococcus aureus,penicillin,Susceptible
13036,Klebsiella pneumoniae strain P30-68,Klebsiella pneumoniae,cefoxitin,Resistant
13037,Klebsiella pneumoniae strain MRSN22232,Klebsiella pneumoniae,tigecycline,Susceptible
13038,Klebsiella pneumoniae strain KP1,Klebsiella pneumoniae,ertapenem,Susceptible
13039,Staphylococcus aureus strain NCTC7712,Staphylococcus aureus,penicillin,Susceptible
13040,Staphylococcus aureus strain NW LYH,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
13041,Shigella sonnei strain 180793,Shigella sonnei,cefpirome,Susceptible
13042,Shigella sonnei strain 175605,Shigella sonnei,ciprofloxacin,Susceptible
13043,Mycobacterium tuberculosis strain OMICS/BPL/0083/19/SP,Mycobacterium tuberculosis,isoniazid,Resistant
13044,Klebsiella pneumoniae strain KP18-2073,Klebsiella pneumoniae,cefoxitin,Resistant
13045,Shigella sonnei strain 168325,Shigella sonnei,streptomycin,Resistant
13046,Klebsiella pneumoniae strain MRSN672476,Klebsiella pneumoniae,cefazolin,Susceptible
13047,Shigella sonnei strain 182825,Shigella sonnei,trimethoprim,Resistant
13050,Staphylococcus aureus strain 41000044,Staphylococcus aureus,erythromycin,Susceptible
13051,Mycobacterium tuberculosis subsp. tuberculosis strain A4,Mycobacterium tuberculosis,capreomycin,Susceptible
13052,Klebsiella pneumoniae strain KCJ2K2161,Klebsiella pneumoniae,levofloxacin,Susceptible
13053,Shigella sonnei strain 170364,Shigella sonnei,chloramphenicol,Susceptible
13054,Klebsiella pneumoniae strain R32,Klebsiella pneumoniae,cefepime,Susceptible
13055,Klebsiella pneumoniae strain SCAID PHRX1-2021 (13/97) strain SCAID PHRX1-2021 (13/97) strain SCAID PHRX1-2021 (13/97),Klebsiella pneumoniae,oxacillin,Resistant
13056,Klebsiella pneumoniae strain 256,Klebsiella pneumoniae,amikacin,Susceptible
13057,Klebsiella pneumoniae strain P30-69,Klebsiella pneumoniae,cefoxitin,Susceptible
13058,Shigella sonnei strain 164660,Shigella sonnei,amikacin,Resistant
13059,Staphylococcus aureus strain 30409_155F184,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
13060,Klebsiella pneumoniae strain KP18-3-8,Klebsiella pneumoniae,piperacillin/tazobactam,Susceptible
13061,Staphylococcus aureus strain GHA/LAMRSA/2016/24,Staphylococcus aureus,ciprofloxacin,Susceptible
13062,Shigella sonnei strain 180540,Shigella sonnei,amikacin,Resistant
13063,Klebsiella pneumoniae strain MRSN25616,Klebsiella pneumoniae,aztreonam,Susceptible
13064,Klebsiella pneumoniae strain K54_1,Klebsiella pneumoniae,imipenem,Susceptible
13065,Klebsiella pneumoniae strain MRSN22232,Klebsiella pneumoniae,ceftazidime,Resistant
13066,Shigella sonnei strain 19911483_1361377,Shigella sonnei,chloramphenicol,Susceptible
13067,Staphylococcus aureus strain SA8,Staphylococcus aureus,clindamycin,Susceptible
13068,Shigella sonnei strain 163136,Shigella sonnei,nalidixic acid,Susceptible
13069,Shigella sonnei strain 149257,Shigella sonnei,azithromycin,Susceptible
13070,Klebsiella pneumoniae strain MRSN583141,Klebsiella pneumoniae,moxifloxacin,Susceptible
13071,Staphylococcus aureus strain 27198_155F12,Staphylococcus aureus,erythromycin,Susceptible
13072,Staphylococcus aureus strain 21608872,Staphylococcus aureus,erythromycin,Susceptible
13073,Shigella sonnei strain 197095,Shigella sonnei,ertapenem,Susceptible
13074,Shigella sonnei strain 149265,Shigella sonnei,ertapenem,Susceptible
13075,Shigella sonnei strain 158941,Shigella sonnei,ciprofloxacin,Susceptible
13076,Shigella sonnei strain 163136,Shigella sonnei,ertapenem,Susceptible
13077,Klebsiella pneumoniae strain Q1447,Klebsiella pneumoniae,cefoxitin,Susceptible
13078,Klebsiella pneumoniae strain MRSN450199,Klebsiella pneumoniae,cefuroxime,Susceptible
13079,Shigella sonnei strain 178626,Shigella sonnei,cefotaxime,Resistant
13080,Klebsiella pneumoniae strain MRSN15937,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
13081,Streptococcus pneumoniae strain pnumococcus16F,Streptococcus pneumoniae,erythromycin,Susceptible
13082,Shigella sonnei strain 203384,Shigella sonnei,gentamicin,Resistant
13084,Klebsiella pneumoniae strain MRSN513382,Klebsiella pneumoniae,tetracycline,Susceptible
13086,Klebsiella pneumoniae strain MRSN374613,Klebsiella pneumoniae,ampicillin-sulbactam,Resistant
13087,Staphylococcus aureus strain 31100823,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
13088,Shigella sonnei strain 182830,Shigella sonnei,chloramphenicol,Susceptible
13089,Klebsiella pneumoniae strain PN77,Klebsiella pneumoniae,cefoxitin,Susceptible
13090,Klebsiella pneumoniae strain 239,Klebsiella pneumoniae,ciprofloxacin,Susceptible
13091,Klebsiella pneumoniae strain BK-170,Klebsiella pneumoniae,ertapenem,Susceptible
13094,Shigella sonnei strain 201535,Shigella sonnei,temocillin,Resistant
13095,Klebsiella pneumoniae strain M-5,Klebsiella pneumoniae,tobramycin,Resistant
13096,Klebsiella pneumoniae strain MRSN6778,Klebsiella pneumoniae,ciprofloxacin,Resistant
13097,Klebsiella pneumoniae strain GDFK0139,Klebsiella pneumoniae,cefepime,Resistant
13098,Klebsiella pneumoniae strain MRSN22232,Klebsiella pneumoniae,cefepime,Resistant
13099,Shigella sonnei strain 174677,Shigella sonnei,ampicillin,Susceptible
13100,Shigella sonnei strain 181987,Shigella sonnei,tobramycin,Resistant
13101,Shigella sonnei strain 178625,Shigella sonnei,ceftazidime,Susceptible
13102,Klebsiella pneumoniae strain 259,Klebsiella pneumoniae,levofloxacin,Susceptible
13103,Klebsiella pneumoniae strain Q1449,Klebsiella pneumoniae,cefepime,Susceptible
13104,Klebsiella pneumoniae strain CMKP01,Klebsiella pneumoniae,cefoxitin,Susceptible
13105,Staphylococcus aureus strain 12493-2-2,Staphylococcus aureus,methicillin,Susceptible
13106,Shigella sonnei strain 159714,Shigella sonnei,chloramphenicol,Susceptible
13107,Shigella sonnei strain 189256,Shigella sonnei,gentamicin,Resistant
13108,Shigella sonnei strain 20061758_1361376,Shigella sonnei,nalidixic acid,Susceptible
13109,Staphylococcus aureus strain 30108394,Staphylococcus aureus,erythromycin,Susceptible
13113,Klebsiella pneumoniae strain MRSN430405,Klebsiella pneumoniae,cefoxitin,Resistant
13114,Klebsiella pneumoniae strain PN79,Klebsiella pneumoniae,gentamicin,Susceptible
13116,Shigella sonnei strain 175548,Shigella sonnei,nalidixic acid,Susceptible
13117,Klebsiella pneumoniae strain MRSN599975,Klebsiella pneumoniae,ceftazidime-avibactam,Susceptible
13119,Klebsiella pneumoniae strain WHC16,Klebsiella pneumoniae,ertapenem,Susceptible
13120,Klebsiella pneumoniae strain PN81,Klebsiella pneumoniae,ciprofloxacin,Susceptible
13121,Klebsiella pneumoniae strain S13_04Ph,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,Susceptible
13122,Shigella sonnei strain 166180,Shigella sonnei,cefoxitin,Susceptible
13123,Shigella sonnei strain 185433,Shigella sonnei,ciprofloxacin,Resistant
13124,Klebsiella pneumoniae strain MRSN430405,Klebsiella pneumoniae,ciprofloxacin,Resistant
13125,Staphylococcus aureus strain NC LYH,Staphylococcus aureus,penicillin,Susceptible
13126,Klebsiella pneumoniae strain MRSN28887,Klebsiella pneumoniae,moxifloxacin,Susceptible
13127,Shigella sonnei strain 202271,Shigella sonnei,ampicillin,Resistant
13128,Shigella sonnei strain 181981,Shigella sonnei,cefpirome,Resistant
13129,Shigella sonnei strain 178631,Shigella sonnei,chloramphenicol,Susceptible
13130,Shigella sonnei strain 164656,Shigella sonnei,amikacin,Resistant
13131,Pseudomonas aeruginosa strain ZYPA27 strain not collected,Pseudomonas aeruginosa,levofloxacin,Resistant
13132,Klebsiella pneumoniae strain MRSN25112,Klebsiella pneumoniae,tetracycline,Susceptible
13133,Shigella sonnei strain 167015,Shigella sonnei,cefotaxime,Resistant
13134,Klebsiella pneumoniae strain KE4389,Klebsiella pneumoniae,tetracycline,Susceptible
13135,Klebsiella pneumoniae strain MRSN6778,Klebsiella pneumoniae,ceftazidime,Resistant
13136,Klebsiella pneumoniae strain MRSN669448,Klebsiella pneumoniae,cefuroxime,Resistant
13137,Shigella sonnei strain 182176,Shigella sonnei,cefotaxime,Susceptible
13138,Shigella sonnei strain 161914,Shigella sonnei,ertapenem,Resistant
13139,Klebsiella pneumoniae strain MRSN546733,Klebsiella pneumoniae,ampicillin-sulbactam,Resistant
13140,Shigella sonnei strain 207588,Shigella sonnei,cefotaxime,Resistant
13141,Shigella sonnei strain 204003,Shigella sonnei,cefoxitin,Resistant
13142,Staphylococcus aureus strain 27178_155F43,Staphylococcus aureus,methicillin,Susceptible
13143,Shigella sonnei strain 208953,Shigella sonnei,chloramphenicol,Resistant
13144,Staphylococcus aureus strain 51000033,Staphylococcus aureus,clindamycin,Susceptible
13145,Klebsiella pneumoniae strain MRSN430414,Klebsiella pneumoniae,tobramycin,Resistant
13146,Klebsiella pneumoniae strain MRSN28887,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,Susceptible
13147,Shigella sonnei strain 182176,Shigella sonnei,cefoxitin,Susceptible
13148,Klebsiella pneumoniae strain M911-1,Klebsiella pneumoniae,gentamicin,Susceptible
13149,Klebsiella pneumoniae strain S90-2,Klebsiella pneumoniae,ciprofloxacin,Resistant
13150,Klebsiella pneumoniae strain DSM 30104 strain RIT 418,Klebsiella pneumoniae,cefoxitin,Susceptible
13151,Staphylococcus aureus strain 31500081,Staphylococcus aureus,clindamycin,Susceptible
13152,Shigella sonnei strain 158946,Shigella sonnei,cefpirome,Resistant
13153,Shigella sonnei strain 197082,Shigella sonnei,chloramphenicol,Susceptible
13154,Staphylococcus aureus strain MR12,Staphylococcus aureus,penicillin,Resistant
13157,Shigella sonnei strain 185474,Shigella sonnei,cefotaxime,Susceptible
13158,Shigella sonnei strain 201525,Shigella sonnei,tetracycline,Resistant
13159,Klebsiella pneumoniae strain MRSN513382,Klebsiella pneumoniae,ampicillin,Resistant
13160,Staphylococcus aureus strain 78528_2,Staphylococcus aureus,methicillin,Susceptible
13161,Klebsiella pneumoniae strain KZN_INI_KINF_22,Klebsiella pneumoniae,ertapenem,Susceptible
13162,Klebsiella pneumoniae subsp. pneumoniae strain KC-Pl-HB1,Klebsiella pneumoniae,cefepime,Susceptible
13163,Klebsiella pneumoniae strain MRSN750877,Klebsiella pneumoniae,ampicillin-sulbactam,Susceptible
13164,Klebsiella pneumoniae strain OD29B,Klebsiella pneumoniae,ciprofloxacin,Resistant
13165,Klebsiella pneumoniae strain MRSN681054,Klebsiella pneumoniae,meropenem,Susceptible
13166,Staphylococcus aureus strain 12493-12-2,Staphylococcus aureus,methicillin,Susceptible
13167,Staphylococcus aureus 08143-5,Staphylococcus aureus,methicillin,Resistant
13169,Klebsiella pneumoniae strain CVUAS 5695.2,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
13171,Shigella sonnei strain 192859,Shigella sonnei,sulfonamides,Resistant
13172,Shigella sonnei strain 187478,Shigella sonnei,temocillin,Resistant
13173,Staphylococcus aureus strain 71532_cf6,Staphylococcus aureus,gentamicin,Susceptible
13174,Klebsiella pneumoniae strain MRSN16008,Klebsiella pneumoniae,nitrofurantoin,Resistant
13175,Shigella sonnei strain 20081885_1361371,Shigella sonnei,streptomycin,Resistant
13176,Shigella sonnei strain 19984123_1361396,Shigella sonnei,nalidixic acid,Susceptible
13177,Klebsiella pneumoniae strain 2019_OU_BfR0019,Klebsiella pneumoniae,meropenem,Susceptible
13178,Klebsiella pneumoniae strain KP19-2029,Klebsiella pneumoniae,amikacin,Susceptible
13179,Staphylococcus aureus strain NC LWH,Staphylococcus aureus,erythromycin,Susceptible
13180,Klebsiella pneumoniae strain PN96,Klebsiella pneumoniae,amikacin,Susceptible
13181,Escherichia coli 590,Escherichia coli,ampicillin,Resistant
13183,Shigella sonnei strain 157268,Shigella sonnei,cefoxitin,Susceptible
13184,Klebsiella pneumoniae strain KZN_INI_KINF_91,Klebsiella pneumoniae,aztreonam,Resistant
13185,Klebsiella pneumoniae strain PN95,Klebsiella pneumoniae,ertapenem,Susceptible
13186,Klebsiella pneumoniae strain MRSN699654,Klebsiella pneumoniae,moxifloxacin,Susceptible
13187,Shigella sonnei strain 185885,Shigella sonnei,ertapenem,Susceptible
13188,Shigella sonnei strain 149200,Shigella sonnei,ertapenem,Susceptible
13189,Klebsiella pneumoniae strain MRSN28880,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
13190,Streptococcus pneumoniae strain S350,Streptococcus pneumoniae,beta-lactam,Resistant
13191,Shigella sonnei strain 168532,Shigella sonnei,ciprofloxacin,Susceptible
13192,Staphylococcus aureus strain GHA/LAMRSA/2016/16,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
13193,Klebsiella pneumoniae strain L923,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
13194,Staphylococcus aureus strain NCTC9611,Staphylococcus aureus,ciprofloxacin,Susceptible
13195,Shigella sonnei strain 178859,Shigella sonnei,ertapenem,Resistant
13196,Klebsiella pneumoniae strain MRSN6778,Klebsiella pneumoniae,cefotaxime,Resistant
13197,Pseudomonas aeruginosa strain AUS225,Pseudomonas aeruginosa,levofloxacin,Susceptible
13198,Shigella sonnei strain 176303,Shigella sonnei,cefoxitin,Susceptible
13199,Shigella sonnei strain 170364,Shigella sonnei,temocillin,Susceptible
13201,Shigella sonnei strain 208953,Shigella sonnei,temocillin,Resistant
13202,Klebsiella pneumoniae strain MRSN750999,Klebsiella pneumoniae,ampicillin,Resistant
13203,Shigella sonnei strain 152345,Shigella sonnei,tobramycin,Resistant
13204,Klebsiella pneumoniae strain MRSN669510,Klebsiella pneumoniae,nalidixic acid,Susceptible
13205,Shigella sonnei strain 187599,Shigella sonnei,gentamicin,Resistant
13206,Klebsiella pneumoniae strain MRSN4759,Klebsiella pneumoniae,cefuroxime,Resistant
13207,Staphylococcus aureus strain 30406_155F136,Staphylococcus aureus,penicillin,Susceptible
13208,Mycobacterium tuberculosis strain 11502,Mycobacterium tuberculosis,isoniazid,Resistant
13209,Klebsiella pneumoniae strain MRSN539414,Klebsiella pneumoniae,tigecycline,Susceptible
13210,Klebsiella pneumoniae strain KP19-2029,Klebsiella pneumoniae,ciprofloxacin,Susceptible
13212,Klebsiella pneumoniae strain P30-63,Klebsiella pneumoniae,tobramycin,Susceptible
13213,Shigella sonnei strain 164682,Shigella sonnei,amikacin,Resistant
13214,Klebsiella pneumoniae strain MRSN25947,Klebsiella pneumoniae,cefotetan,Susceptible
13215,Klebsiella pneumoniae strain SCAID PHRX1-2021 (13/97) strain SCAID PHRX1-2021 (13/97) strain SCAID PHRX1-2021 (13/97),Klebsiella pneumoniae,aztreonam,Susceptible
13216,Shigella sonnei strain 20062087_1361418,Shigella sonnei,streptomycin,Resistant
13217,Klebsiella pneumoniae strain PN84,Klebsiella pneumoniae,gentamicin,Susceptible
13218,Shigella sonnei strain 201525,Shigella sonnei,trimethoprim,Resistant
13219,Klebsiella pneumoniae strain MRSN468268,Klebsiella pneumoniae,ertapenem,Susceptible
13220,Shigella sonnei strain 201525,Shigella sonnei,ciprofloxacin,Resistant
13221,Shigella sonnei strain 172465,Shigella sonnei,ertapenem,Susceptible
13222,Shigella sonnei strain 209957,Shigella sonnei,tobramycin,Resistant
13223,Klebsiella pneumoniae strain WHC16,Klebsiella pneumoniae,imipenem,Susceptible
13224,Staphylococcus aureus strain 23536_5_3_M3012_4,Staphylococcus aureus,erythromycin,Susceptible
13225,Staphylococcus aureus strain 27203_175F433,Staphylococcus aureus,methicillin,Susceptible
13226,Klebsiella pneumoniae strain MRSN18411,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,Susceptible
13227,Shigella sonnei strain 171146,Shigella sonnei,streptomycin,Susceptible
13228,Shigella sonnei strain 158946,Shigella sonnei,ampicillin,Resistant
13229,Shigella sonnei strain 198257,Shigella sonnei,cefpirome,Susceptible
13231,Klebsiella pneumoniae strain MRSN614201,Klebsiella pneumoniae,piperacillin-tazobactam,Susceptible
13232,Staphylococcus aureus strain 23/11-14 HW,Staphylococcus aureus,gentamicin,Susceptible
13233,Shigella sonnei strain 187476,Shigella sonnei,gentamicin,Susceptible
13234,Shigella sonnei strain 158941,Shigella sonnei,streptomycin,Resistant
13235,Klebsiella pneumoniae strain MRSN750999,Klebsiella pneumoniae,ceftazidime-avibactam,Susceptible
13236,Shigella sonnei strain 199912,Shigella sonnei,nalidixic acid,Resistant
13237,Shigella sonnei strain 185943,Shigella sonnei,cefoxitin,Susceptible
13238,Klebsiella pneumoniae strain MRSN669510,Klebsiella pneumoniae,imipenem,Susceptible
13240,Shigella sonnei strain 152352,Shigella sonnei,cefpirome,Susceptible
13241,Shigella sonnei strain 149200,Shigella sonnei,amikacin,Resistant
13242,Shigella sonnei strain 19920319_1361378,Shigella sonnei,streptomycin,Susceptible
13243,Shigella sonnei strain 158934,Shigella sonnei,amikacin,Resistant
13244,Klebsiella pneumoniae strain MRSN366562,Klebsiella pneumoniae,ceftazidime,Resistant
13245,Klebsiella pneumoniae strain GF34B,Klebsiella pneumoniae,piperacillin/tazobactam,Susceptible
13246,Klebsiella pneumoniae strain Q1461,Klebsiella pneumoniae,gentamicin,Resistant
13247,Shigella sonnei strain 178631,Shigella sonnei,ciprofloxacin,Susceptible
13248,Shigella sonnei strain 190807,Shigella sonnei,ciprofloxacin,Resistant
13249,Staphylococcus aureus strain 27/4-18 SC,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
13250,Shigella sonnei strain 166177,Shigella sonnei,trimethoprim,Resistant
13251,Staphylococcus epidermidis strain SCAID OTT1-2021 (597) strain SCAID OTT1-2021 (597) strain SCAID OTT1-2021 (597),Staphylococcus epidermidis,cefazolin,Susceptible
13252,Klebsiella pneumoniae strain WHC160,Klebsiella pneumoniae,cefoxitin,Susceptible
13253,Staphylococcus aureus strain 27203_175F433,Staphylococcus aureus,tetracycline,Susceptible
13254,Klebsiella pneumoniae strain MRSN25947,Klebsiella pneumoniae,ceftazidime,Susceptible
13255,Shigella sonnei strain 182825,Shigella sonnei,temocillin,Resistant
13256,Klebsiella pneumoniae subsp. pneumoniae strain KC-Pl-HB1,Klebsiella pneumoniae,meropenem,Susceptible
13257,Shigella sonnei strain 181982,Shigella sonnei,chloramphenicol,Susceptible
13258,Klebsiella pneumoniae strain Q0892,Klebsiella pneumoniae,levofloxacin,Resistant
13259,Shigella sonnei strain 154830,Shigella sonnei,sulfonamides,Resistant
13260,Shigella sonnei strain 195810,Shigella sonnei,ampicillin,Resistant
13261,Staphylococcus aureus strain 62100_36_1,Staphylococcus aureus,ciprofloxacin,Susceptible
13262,Klebsiella pneumoniae strain Kp5168,Klebsiella pneumoniae,gentamicin,Resistant
13263,Klebsiella pneumoniae strain MRSN15937,Klebsiella pneumoniae,moxifloxacin,Susceptible
13264,Staphylococcus aureus strain JW_comp_novo,Staphylococcus aureus,erythromycin,Susceptible
13265,Streptococcus pneumoniae strain S825,Streptococcus pneumoniae,tetracycline,Susceptible
13266,Shigella sonnei strain 154832,Shigella sonnei,streptomycin,Resistant
13267,Klebsiella pneumoniae strain MRSN430414,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
13268,Shigella sonnei strain 209681,Shigella sonnei,cefpirome,Susceptible
13269,Klebsiella pneumoniae strain 11-0910 strain not applicable,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,Susceptible
13270,Klebsiella pneumoniae strain MRSN13761,Klebsiella pneumoniae,ceftriaxone,Resistant
13271,Streptococcus pneumoniae strain SCAID PHRX1-2021,Streptococcus pneumoniae,oxacillin,Resistant
13272,Shigella sonnei strain 190644,Shigella sonnei,cefpirome,Susceptible
13273,Shigella sonnei strain 187589,Shigella sonnei,ciprofloxacin,Resistant
13274,Klebsiella pneumoniae strain MRSN20522,Klebsiella pneumoniae,cephalothin,Resistant
13275,Klebsiella pneumoniae strain E14_15_42Sa,Klebsiella pneumoniae,cefepime,Susceptible
13276,Shigella sonnei strain 158941,Shigella sonnei,amikacin,Resistant
13277,Klebsiella pneumoniae strain K5962,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
13278,Klebsiella pneumoniae strain BK25434,Klebsiella pneumoniae,aztreonam,Susceptible
13279,Klebsiella pneumoniae strain WHC161,Klebsiella pneumoniae,levofloxacin,Susceptible
13280,Staphylococcus aureus strain 73078_4,Staphylococcus aureus,gentamicin,Susceptible
13281,Shigella sonnei strain 174677,Shigella sonnei,tobramycin,Resistant
13282,Shigella sonnei strain 208955,Shigella sonnei,azithromycin,Susceptible
13283,Staphylococcus aureus strain 27177_54M3289Y5,Staphylococcus aureus,erythromycin,Susceptible
13286,Klebsiella pneumoniae strain MRSN750877,Klebsiella pneumoniae,moxifloxacin,Susceptible
13288,Shigella sonnei strain 154833,Shigella sonnei,trimethoprim,Resistant
13289,Klebsiella pneumoniae strain BK-167,Klebsiella pneumoniae,tobramycin,Susceptible
13290,Shigella sonnei strain 195810,Shigella sonnei,amikacin,Susceptible
13292,Klebsiella pneumoniae strain 3125,Klebsiella pneumoniae,amikacin,Resistant
13293,Shigella sonnei strain 178950,Shigella sonnei,ceftazidime,Susceptible
13294,Klebsiella pneumoniae strain 2019_OU_BfR0017,Klebsiella pneumoniae,ciprofloxacin,Resistant
13295,Shigella sonnei strain 195632,Shigella sonnei,chloramphenicol,Susceptible
13296,Shigella sonnei strain 178863,Shigella sonnei,ceftazidime,Susceptible
13297,Klebsiella pneumoniae strain MRSN761403,Klebsiella pneumoniae,levofloxacin,Resistant
13298,Klebsiella pneumoniae strain WHC160,Klebsiella pneumoniae,cefepime,Susceptible
13299,Shigella sonnei strain 197093,Shigella sonnei,trimethoprim,Resistant
13300,Shigella sonnei strain 197091,Shigella sonnei,ciprofloxacin,Susceptible
13302,Shigella sonnei strain 161920,Shigella sonnei,streptomycin,Resistant
13304,Klebsiella pneumoniae strain KP1,Klebsiella pneumoniae,amikacin,Resistant
13305,Staphylococcus aureus strain 67582_1,Staphylococcus aureus,erythromycin,Susceptible
13306,Escherichia coli 290,Escherichia coli,tms,Resistant
13307,Shigella sonnei strain 199812,Shigella sonnei,cefpirome,Susceptible
13309,Shigella sonnei strain 171144,Shigella sonnei,amikacin,Resistant
13310,Klebsiella pneumoniae strain MRSN699654,Klebsiella pneumoniae,tetracycline,Susceptible
13312,Staphylococcus aureus strain BP5,Staphylococcus aureus,clindamycin,Susceptible
13313,Shigella sonnei strain 20040924_1361417,Shigella sonnei,nalidixic acid,Susceptible
13314,Mycobacterium tuberculosis variant bovis strain A2,Mycobacterium tuberculosis,amikacin,Susceptible
13315,Shigella sonnei strain 159704,Shigella sonnei,sulfonamides,Resistant
13316,Klebsiella pneumoniae strain MK-07,Klebsiella pneumoniae,amikacin,Susceptible
13318,Staphylococcus aureus strain MR12,Staphylococcus aureus,ciprofloxacin,Resistant
13319,Klebsiella pneumoniae strain MRSN28866,Klebsiella pneumoniae,ciprofloxacin,Resistant
13321,Shigella sonnei strain 174676,Shigella sonnei,chloramphenicol,Susceptible
13323,Shigella sonnei strain 178632,Shigella sonnei,temocillin,Susceptible
